customer_id,edad,customer_gender,customer_signup_time,item_id,item_title,item_category,item_price,color,item_avg_rating,item_num_ratings,item_release_date,purchase_timestamp,customer_item_views,purchase_item_rating,purchase_device,label
CUST_0001,28,1.0,9.823,ITEM_0083,Premium,,1012.6,-0.1,3.57,8,2025-06-02,2025-07-10,6,,mobile,1
CUST_0002,24,1.0,17.773,ITEM_0094,Stylish,,1457.27,-0.429,4.05,6,2025-07-12,2025-10-06,6,,mobile,1
CUST_0003,25,3.0,11.104,ITEM_0009,Stylish,,1489.03,-0.429,3.26,35,2023-08-31,2023-12-15,3,,mobile,1
CUST_0004,23,3.0,1.445,ITEM_0100,Stylish,,1382.22,0.714,3.44,6,2025-08-31,2025-11-19,4,,mobile,1
CUST_0005,23,3.0,8.279,ITEM_0065,Modern,,1274.19,-0.1,3.48,45,2023-08-16,2023-10-09,12,4.0,mobile,1
CUST_0006,27,1.0,0.788,ITEM_0005,Exclusive,,1281.0,0.714,3.2,27,2024-06-16,2024-07-27,7,4.5,mobile,1
CUST_0007,20,2.0,14.225,ITEM_0097,Exclusive,,1126.68,0.714,3.33,22,2024-08-25,2024-11-29,7,,mobile,1
CUST_0008,22,3.0,11.597,ITEM_0007,Elegant,,1360.0,0.714,3.06,6,2025-06-13,2025-07-16,6,,mobile,1
CUST_0009,21,3.0,22.47,ITEM_0095,Modern,,1025.01,-0.714,3.79,32,2024-03-11,2024-07-07,6,,mobile,1
CUST_0010,27,1.0,3.351,ITEM_0091,Elegant,,1007.56,-0.714,4.02,17,2025-04-14,2025-05-02,6,,mobile,1
CUST_0011,24,3.0,1.873,ITEM_0040,Stylish,,1417.74,-0.1,3.42,19,2024-07-02,2024-09-19,3,,mobile,1
CUST_0012,19,3.0,20.105,ITEM_0043,Premium,,1103.65,-0.429,4.0,28,2024-05-23,2024-08-03,6,3.5,mobile,1
CUST_0013,27,3.0,5.848,ITEM_0089,Stylish,,1173.26,-0.429,3.39,57,2023-07-23,2023-10-17,4,4.0,mobile,1
CUST_0014,29,1.0,26.216,ITEM_0090,Stylish,,1086.06,0.714,3.46,38,2024-05-09,2024-05-29,3,4.5,mobile,1
CUST_0015,25,3.0,24.573,ITEM_0072,Exclusive,,1463.1,0.714,5.0,2,2025-07-26,2025-10-11,5,3.5,mobile,1
CUST_0016,19,3.0,6.833,ITEM_0089,Stylish,,1173.26,-0.429,3.39,57,2023-07-23,2023-10-14,4,,mobile,1
CUST_0017,29,1.0,27.694,ITEM_0007,Elegant,,1360.0,0.714,3.06,6,2025-06-13,2025-06-25,4,,mobile,1
CUST_0018,24,3.0,21.551,ITEM_0048,Premium,,1346.27,-0.429,3.64,12,2025-03-20,2025-03-20,5,,mobile,1
CUST_0019,28,1.0,19.974,ITEM_0074,Exclusive Premium,,1328.32,-0.1,3.45,45,2023-04-24,2023-05-20,4,5.0,mobile,1
CUST_0021,29,1.0,31.275,ITEM_0066,Exclusive Elegant,,1236.9,-0.429,3.57,34,2023-08-06,2023-10-25,4,3.5,mobile,1
CUST_0022,22,3.0,10.381,ITEM_0087,Elegant,,1190.72,-0.429,3.46,46,2023-10-16,2023-12-31,10,,mobile,1
CUST_0023,18,1.0,12.714,ITEM_0024,Modern,,1258.72,-0.1,3.65,35,2024-03-06,2024-03-14,4,,mobile,1
CUST_0024,22,1.0,16.327,ITEM_0078,Stylish,,1022.7,-0.1,3.26,21,2024-09-19,2024-11-17,4,,desktop,1
CUST_0025,26,1.0,32.359,ITEM_0072,Exclusive,,1463.1,0.714,5.0,2,2025-07-26,2025-09-02,2,,mobile,1
CUST_0026,20,3.0,4.468,ITEM_0029,Exclusive,,1253.71,-0.1,3.51,78,2023-02-10,2023-05-11,6,,mobile,1
CUST_0027,21,3.0,16.919,ITEM_0087,Elegant,,1190.72,-0.429,3.46,46,2023-10-16,2023-12-03,5,,mobile,1
CUST_0028,28,1.0,31.669,ITEM_0088,Premium,,1216.01,0.714,3.49,23,2024-07-22,2024-09-05,2,,desktop,1
CUST_0029,20,1.0,6.702,ITEM_0026,Elegant,,1300.33,-0.1,,0,2025-08-08,2025-11-09,2,,mobile,1
CUST_0030,26,1.0,6.702,ITEM_0085,Elegant,,1314.0,-0.1,3.2,25,2024-05-14,2024-06-13,8,3.5,mobile,1
CUST_0031,28,2.0,16.229,ITEM_0032,Elegant,,1274.79,-0.1,3.53,57,2023-04-23,2023-04-29,5,4.5,desktop,1
CUST_0032,18,3.0,1.38,ITEM_0082,Stylish,,1489.26,0.714,3.72,34,2024-05-29,2024-06-17,7,,desktop,1
CUST_0033,20,3.0,9.527,ITEM_0092,Modern,,1469.53,0.714,4.22,1,2025-07-05,2025-07-09,7,,mobile,1
CUST_0034,22,3.0,5.946,ITEM_0066,Exclusive Elegant,,1236.9,-0.429,3.57,34,2023-08-06,2023-10-22,4,4.0,mobile,1
CUST_0035,28,1.0,12.878,ITEM_0054,Stylish,,1433.47,-0.1,3.52,61,2023-03-15,2023-04-19,5,,mobile,1
CUST_0036,18,3.0,24.047,ITEM_0051,Exclusive Modern,,1033.0,-0.714,3.48,59,2023-12-21,2024-03-28,2,4.0,desktop,1
CUST_0037,18,1.0,12.319,ITEM_0054,Stylish,,1433.47,-0.1,3.52,61,2023-03-15,2023-05-28,4,,mobile,1
CUST_0038,19,3.0,25.624,ITEM_0068,Modern,,1404.93,-0.714,3.16,29,2024-11-17,2025-03-04,4,3.0,mobile,1
CUST_0039,18,3.0,28.581,ITEM_0015,Elegant,,1055.37,-0.1,3.41,30,2024-07-25,2024-10-21,4,,mobile,1
CUST_0040,23,3.0,5.388,ITEM_0057,Exclusive,,1001.91,-0.714,3.53,47,2023-11-21,2024-01-03,6,,desktop,1
CUST_0041,18,3.0,23.193,ITEM_0044,Exclusive,,1482.01,0.714,3.19,47,2023-04-27,2023-08-06,2,,mobile,1
CUST_0043,23,3.0,7.523,ITEM_0017,Premium,,1217.75,-0.429,3.34,6,2025-06-14,2025-08-17,2,,mobile,1
CUST_0044,20,1.0,1.216,ITEM_0011,Exclusive,,1454.61,-0.1,3.34,69,2023-04-07,2023-08-03,3,,desktop,1
CUST_0045,24,3.0,16.787,ITEM_0047,Exclusive Premium,,1320.1,-0.429,3.93,21,2025-01-06,2025-03-22,5,3.0,desktop,1
CUST_0046,19,3.0,11.794,ITEM_0079,Elegant,,1000.74,0.714,3.21,10,2025-03-25,2025-07-17,4,,mobile,1
CUST_0048,29,1.0,21.485,ITEM_0091,Elegant,,1007.56,-0.714,4.02,17,2025-04-14,2025-06-24,6,,mobile,1
CUST_0049,19,3.0,3.384,ITEM_0072,Exclusive,,1463.1,0.714,5.0,2,2025-07-26,2025-08-22,7,,desktop,1
CUST_0050,22,3.0,32.556,ITEM_0072,Exclusive,,1463.1,0.714,5.0,2,2025-07-26,2025-08-04,7,,mobile,1
CUST_0051,20,1.0,31.078,ITEM_0016,Modern,,1356.01,0.714,3.85,22,2025-01-29,2025-02-08,3,,mobile,1
CUST_0052,28,1.0,1.051,ITEM_0067,Modern,,1362.81,-0.429,3.31,49,2023-07-18,2023-09-02,2,,mobile,1
CUST_0053,20,1.0,16.097,ITEM_0002,Premium,,1093.05,0.714,3.54,66,2023-02-18,2023-05-30,5,,desktop,1
CUST_0054,19,3.0,9.658,ITEM_0017,Premium,,1217.75,-0.429,3.34,6,2025-06-14,2025-09-10,7,,mobile,1
CUST_0055,26,1.0,13.798,ITEM_0066,Exclusive Elegant,,1236.9,-0.429,3.57,34,2023-08-06,2023-11-04,4,,mobile,1
CUST_0056,21,3.0,26.445,ITEM_0014,Exclusive,,1006.3,-0.714,3.28,33,2024-06-20,2024-09-21,4,,mobile,1
CUST_0058,20,3.0,23.555,ITEM_0051,Exclusive Modern,,1033.0,-0.714,3.48,59,2023-12-21,2024-04-12,3,,mobile,1
CUST_0059,18,3.0,3.975,ITEM_0068,Modern,,1404.93,-0.714,3.16,29,2024-11-17,2025-01-21,6,4.5,desktop,1
CUST_0060,21,2.0,14.882,ITEM_0088,Premium,,1216.01,0.714,3.49,23,2024-07-22,2024-11-08,2,,mobile,1
CUST_0061,29,2.0,27.661,ITEM_0028,Exclusive,,1268.5,-0.429,3.4,72,2023-02-18,2023-03-03,9,,mobile,1
CUST_0062,20,1.0,31.636,ITEM_0003,Stylish,,1079.45,-0.1,3.02,4,2025-04-07,2025-08-02,3,,mobile,1
CUST_0063,22,1.0,29.599,ITEM_0040,Stylish,,1417.74,-0.1,3.42,19,2024-07-02,2024-08-26,7,4.0,mobile,1
